objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
vjlsarchives001,001.jpg,,Abacus Collection,image/jpeg,Tomoe Soroban Brand.,,,,,classroom supplies,School; Arithmetic,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives002,002.jpg,,Entrance Bell,image/jpeg,Used in Japanese Hall entrance.,,,,,bell,School,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives003,003.jpg,,School Bell,image/jpeg,Bell used in class.,,,,,bell,School,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives004,004.jpg,,Pre-WW2 Record Book A,image/jpeg,Records from before World War 2.,,,,,book; records; pre-ww2,School; Records,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives005,005.jpg,,Pre-WW2 Record Book B,image/jpeg,Records from before World War 2.,,,,,book; records; pre-ww2,School; Records,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives006,006.jpg,,Shogi Set,image/jpeg,Box of shogi pieces.,,,,,game,Recreation,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives007,007.jpg,,Pre-WW2 Tuition Records,image/jpeg,Tuition from 1940-41.,,,1940-1941,,book; records; pre-ww2,School; Records,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives008,008.jpg,,Female Hina Doll,image/jpeg,Doll for Hinamatsuri.,,,,,doll,Cultural; Festival,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives009,009.jpg,,Maneki-neko,image/jpeg,Lucky cat statue.,,,,,statue; neko,Cultural,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives010,010.jpg,,Gakuyukai Magazine,image/jpeg,Student Association magazine from 1940.,,,1940,,magazine; pre-ww2,Students; Publication,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives011,011.jpg,,Ijikai Members List and Fees 1939-1940,image/jpeg,Pre-war organization members list and fees.,,,1939-1941,,book; records; pre-ww2,Organization; Records,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives012,012.jpg,,Pre-WW2 Finance Records 1912-1925,image/jpeg,Financial records from the Taisho era.,,,1912-1921,,book; records; pre-ww2,Finances; Records,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives013,013.jpg,,Pre-WW2 Building Committee Donors List,image/jpeg,List of donations from before World War 2.,,,,,book; records; pre-ww2,Finances; Records,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives014,014.jpg,,Male Hina Doll,image/jpeg,Doll for Hinamatsuri.,,,,,doll,Cultural; Festival,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives015,015.jpg,,Twin Dolls,image/jpeg,A matching pair of dolls.,,,,,doll,Cultural,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives016,016.jpg,,Doll Couple,image/jpeg,A doll couple in a plastic display case.,,,,,doll,Cultural,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives017,017.jpg,,Nagashi-bina Dolls,image/jpeg,Dolls that float down a river during Hinamatsuri.,,,,,doll,Cultural; Festival,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives018,018.jpg,,Kishu-bina Dolls,image/jpeg,Souvenirs dolls from Wakayama.,,,,,doll,Cultural,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives019,019.jpg,,Kamishibai Theater,image/jpeg,Portable theater for paper plays.,,,,,theater; storybooks,Entertainment; Cultural; Children,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives020,020.jpg,,Kamishibai Stories,image/jpeg,Collection of paper plays.,,,,,storybooks,Entertainment; Cultural; Children,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives021,021.jpg,,Terracotta Haniwa Warrior Statue,image/jpeg,Example of funerary statues used in the Kofun period.,,,,,statue; terracotta,Cultural; Historical,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
